Project,Year,Site Code,Requestor Org,Project Type,Facility Type,Transaction Type,Address,City,State,Zip Code,Centroid,TM,PCM,CM,Biz Req. First Receive Date
26_1DC_NA_US_West Jefferson_OOH9,2026,OOH9,NA_FC,New Launch,1DC,Purchase,44 Commerce Parkway,West Jefferson,OH,43162,,Arman Fashandi,Nuraldiin Singh,Michael Tarry,6/1/2026
26_1DC_NA_US_Greenfield_OIN9,2026,OIN9,NA_FC,New Launch,1DC,Internal Transfer,2625 North Buck Creek Road,Greenfield,IN,46140,,Philip Ristevski,David Trimble,Richard Flores,6/1/2026
27_1DC_NA_US_Manchester_OPA8,2027,OPA8,NA_FC,New Launch,1DC,New Lease,North Susquehanna Trail,Manchester,PA,17404,,Arman Fashandi,Maria Albulescu,,6/22/2027
28_AMZL_NA_US_Dayton_DOH3,2028,DOH3,AMZL,New Launch,AMZL,Purchase,Commerce Center Drive & Heritage Drive,Franklin,OH,45005,45420,Al Patel,Albert Chon,Pat Kelley,8/1/2028
28_AMZL_NA_US_Cincinnati_DOH2,2028,DOH2,AMZL,New Launch,AMZL,Purchase,0 Half Acre Road,Lebanon,OH,45036,45103,Al Patel,Albert Chon,Pat Kelley,8/1/2028
27_AMZL_NA_US_Madison_DKE3,2027,DKE3,AMZL,New Launch,AMZL,Purchase,Hickory Lane & Linde Street,Madison,WI,53532,53953,Richard Corley,Jerry Wang<br />Jerry Wang,Barbara Santos<br />Barbara Santos,1/1/2027
27_AMZ_NA_US_Sheboygan_DSB2,2027,DSB2,AMZL,New Launch,AMZL,Purchase,Stahl Road and South Taylor Drive,Sheboygan,WI,53081,53085,Richard Corley,Jerry Wang,Asher Cousin,1/1/2027
28_ARS_NA_US_HAMILTON_ACY4,2028,ACY4,NA_FC,New Launch,AR Sortable,Purchase,4501 Black Horse Pike,Hamilton,NJ,,,Arman Fashandi,Gary Gallagher,Allison Nichols,5/1/2028
26_Bridge_NA_US_Farmington_DZS9_3,2026,DZS9_3,AMZL,New Launch,Bridge,New Lease,,Farmington,MO,,,,,,9/1/2026
26_Bridge_NA_US_Sheboygan_DZK2_4,2026,DZK2_4,AMZL,New Launch,Bridge,New Lease,4117 Playbird Rd,Sheboygan,WI,53083,,,,,9/1/2026
26_Bridge_NA_US_Sheboygan_DZK2_2,2026,DZK2_2,AMZL,New Launch,Bridge,New Lease,"200 Industrial Drive,",Fredonia,WI,,,Richard Corley,,,9/1/2026
26_Bridge_NA_US_Shell Lake_DZE9_2,2026,DZE9_2,AMZL,New Launch,Bridge,New Lease,911 Pine St,St Croix Falls,WI,54024,,,,,9/1/2026
26_Bridge_NA_US_Shell Lake_DZE9_3,2026,DZE9_3,AMZL,New Launch,Bridge,New Lease,811 Pine St,St Croix Falls,WI,54024,,,,,9/1/2026
26_Bridge_NA_US_Old Washington_DZE7_2,2026,DZE7_2,AMZL,New Launch,Bridge,New Lease,2411 E. Wheeling Ave.,Cambridge,OH,43725,,,Matt Ho,,9/1/2026
26_Bridge_NA_US_South Shore_DZE5_1,2026,US41175,AMZL,New Launch,Bridge,New Lease,,South Shore,KY,,,,,,9/1/2026
26_Bridge_NA_US_Shell Lake_DZE9_1,2026,DZE9_1,AMZL,New Launch,Bridge,New Lease,310 W South St,Rice Lake,WI,54868,,,,,9/1/2026
26_Bridge_NA_US_Louisa_DZE6_1,2026,DZE6_1,AMZL,New Launch,Bridge,New Lease,515 W 8th Ave W,Huntington,WV,25704,,,,,9/1/2026
26_Bridge_NA_US_Jackson_DZE8_1,2026,DZE8_1,AMZL,New Launch,Bridge,New Lease,1 General Tibbets Dr,Jackson,OH,45640,,,Matt Ho,,9/1/2026
26_ATH Hub_NA_US_Hebron_CVG47,2026,CVG47,NAST,New Launch,CNG Fill Station,Purchase,Litton Lane,Hebron,KY,41048,,Phillip Perri,Tannaz H<br />Tannaz H,Steven Baumgardner,8/1/2026
29_Oth_NA_US_Shippensburg_Mid-Atlantic_Pipeline_3,2029,Mid-Atlantic_Pipeline_3,NA_FC,New Launch,Other,Purchase,Cramer Road,Shippensburg,PA,17257,,Arman Fashandi,,,8/1/2029
29_Oth_NA_US_Chambersburg_HIA2,2029,HIA2,NA_FC,New Launch,Other,Purchase,3055 Black Gap Road,Chambersburg,PA,17202,,Arman Fashandi,,,6/1/2029
28_Flex_Shell_NA_US_Greatlakes_28_Flex_Shell_1,2028,28_Flex_Shell_1,NA_FC,New Launch,Other,Purchase,,Mid-Missouri,TBD,,,Arman Fashandi,,,8/1/2028
